Group,Total,EE,ME,CS,CE,CB,MM,AI
Group_G01.csv,35,7,7,7,6,5,3,0
Group_G02.csv,35,7,7,7,5,6,3,0
Group_G03.csv,35,7,7,7,5,6,3,0
Group_G04.csv,35,7,7,7,5,6,3,0
Group_G05.csv,35,7,7,7,5,6,3,0
Group_G06.csv,35,7,7,7,5,5,4,0
Group_G07.csv,35,7,7,7,5,5,4,0
Group_G08.csv,35,7,7,6,6,5,4,0
Group_G09.csv,35,7,7,6,6,5,4,0
Group_G10.csv,35,7,7,6,6,5,3,1
Group_G11.csv,35,7,6,7,6,5,3,1
Group_G12.csv,34,6,7,7,6,5,3,0
